Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,49.279999,49.369999,48.380001,48.459999,2677600,48.459999
2015-07-30,48.02,49.279999,47.830002,49.060001,5397400,49.060001
2015-07-29,47.380001,48.52,47.380001,48.32,3253500,48.32
2015-07-28,46.150002,47.389999,45.779999,47.18,3301700,47.18
2015-07-27,44.790001,45.150002,44.41,44.799999,2635400,44.799999
2015-07-24,45.369999,45.52,45.080002,45.169998,1553400,45.169998
2015-07-23,45.25,45.360001,44.970001,45.32,1255700,45.32
2015-07-22,45.259998,45.66,45.169998,45.310001,1060300,45.310001
2015-07-21,45.599998,45.650002,45.189999,45.330002,981200,45.330002
2015-07-20,45.400002,45.77,45.400002,45.630001,1632100,45.630001
2015-07-17,45.950001,45.950001,45.43,45.52,1683800,45.52
2015-07-16,45.740002,45.950001,45.560001,45.810001,1024800,45.810001
2015-07-15,45.57,45.66,45.360001,45.560001,1304500,45.560001
2015-07-14,45.959999,45.959999,45.580002,45.599998,1475900,45.599998
2015-07-13,45.700001,45.880001,45.48,45.790001,1504000,45.790001
2015-07-10,45.00,45.360001,44.849998,45.27,1636500,45.27
2015-07-09,44.689999,44.790001,44.459999,44.459999,1928600,44.459999
2015-07-08,44.650002,44.799999,43.950001,44.16,1835500,44.16
2015-07-07,44.880001,44.98,44.310001,44.959999,1722400,44.959999
2015-07-06,44.619999,45.130001,44.610001,44.799999,1308000,44.799999
2015-07-02,45.299999,45.389999,44.669998,44.990002,1575100,44.990002
2015-07-01,45.41,45.709999,44.939999,45.119999,1842800,45.119999
2015-06-30,45.07,45.130001,44.610001,44.77,2081200,44.77
2015-06-29,45.830002,46.00,44.689999,44.73,2307400,44.73
2015-06-26,45.73,46.849998,45.599998,46.220001,8047700,46.220001
2015-06-25,45.650002,45.830002,45.52,45.57,1777100,45.57
2015-06-24,45.810001,46.040001,45.459999,45.610001,2171000,45.610001
2015-06-23,45.849998,46.049999,45.59,45.720001,1634400,45.720001
2015-06-22,45.759998,46.169998,45.610001,45.900002,2329200,45.900002
2015-06-19,45.470001,45.709999,45.27,45.540001,3234800,45.540001
2015-06-18,45.139999,45.799999,45.029999,45.619999,2926300,45.619999
2015-06-17,44.939999,45.27,44.77,45.02,1659000,45.02
2015-06-16,44.790001,44.98,44.48,44.82,1880900,44.82
2015-06-15,44.59,44.860001,44.459999,44.759998,2053400,44.759998
2015-06-12,44.900002,45.080002,44.810001,44.939999,1045000,44.939999
2015-06-11,45.00,45.130001,44.869999,45.060001,3060000,45.060001
2015-06-10,44.619999,45.299999,44.560001,45.220001,955900,45.220001
2015-06-09,44.299999,44.689999,44.259998,44.509998,1360800,44.509998
2015-06-08,44.669998,44.73,44.290001,44.299999,1340000,44.299999
2015-06-05,44.849998,44.950001,44.450001,44.759998,1228700,44.759998
2015-06-04,45.080002,45.490002,44.849998,44.919998,1927300,44.919998
2015-06-03,44.759998,45.549999,44.669998,45.349998,1866300,45.349998
2015-06-02,44.310001,44.759998,44.299999,44.720001,1687700,44.720001
2015-06-01,45.18,45.25,44.799999,44.830002,1554300,44.550003
2015-05-29,45.130001,45.259998,44.709999,44.990002,2076300,44.709003
2015-05-28,45.34,45.50,44.84,45.099998,1295300,44.818313
2015-05-27,45.330002,45.529999,45.060001,45.48,1236800,45.195941
2015-05-26,45.799999,45.900002,45.169998,45.32,1910300,45.03694
2015-05-22,45.709999,45.990002,45.68,45.84,1061000,45.553693
2015-05-21,45.610001,45.959999,45.610001,45.740002,2316300,45.454319
2015-05-20,45.669998,45.990002,45.509998,45.779999,1863900,45.494066
2015-05-19,45.869999,46.110001,45.52,45.669998,2410500,45.384753
2015-05-18,45.509998,45.970001,45.419998,45.919998,1621500,45.633191
2015-05-15,45.060001,45.610001,45.009998,45.57,3245400,45.285379
2015-05-14,44.75,45.119999,44.689999,45.040001,2299000,44.75869
2015-05-13,44.48,44.639999,44.330002,44.34,2797300,44.063062
